order_name,order_id,store_id,order_date,status,delivery_eta,
1,48550,947992,07/05/2023,Pending,14/05/2023,
2,83685,435497,18/06/2023,Delivered,-,
3,34990,444335,05/04/2023,Pending,12/04/2023,
4,39044,589307,28/06/2023,Delivered,-,
5,39692,865952,06/03/2023,Delivered,-,
6,12906,819569,05/05/2023,Delivered,-,
7,81849,907948,29/07/2023,Not Delivered,-,
8,75580,404428,07/03/2023,Not Delivered,-,
9,61964,656693,14/07/2023,Not Delivered,-,
10,78456,502773,25/05/2023,Pending,06/01/2023,
11,63703,502773,06/05/2023,Delivered,-,
12,87075,204552,29/08/2023,Not Delivered,-,
13,25250,371972,06/11/2023,Pending,13/11/2023,
14,23957,776698,08/06/2023,Pending,15/06/2023,
15,89264,741712,08/01/2023,Delivered,-,
16,24453,780752,14/06/2023,Delivered,-,
17,93306,851563,05/09/2023,Pending,12/09/2023,
18,52740,200100,06/01/2023,Pending,13/01/2023,
19,66148,386137,07/01/2023,Delivered,-,
20,29623,124403,07/10/2023,Delivered,-,
21,78756,758148,19/06/2023,Not Delivered,-,
22,49314,212698,07/11/2023,Not Delivered,-,
23,23291,471055,17/07/2023,Not Delivered,-,
24,11701,146527,13/06/2023,Delivered,-,
25,75290,137973,07/08/2023,Delivered,-,
26,90871,523666,08/04/2023,Pending,15/04/2023,
27,56329,769967,19/05/2023,Delivered,-,
28,93682,584868,21/08/2023,Not Delivered,-,
29,92253,748941,23/05/2023,Delivered,-,
30,93962,731844,22/06/2023,Delivered,-,
31,43522,381762,05/11/2023,Not Delivered,-,
32,90724,204188,30/05/2023,Delivered,-,
33,98341,631684,21/07/2023,Not Delivered,-,
34,96916,515688,06/07/2023,Delivered,-,
35,87394,477788,27/06/2023,Delivered,-,
36,69030,109293,22/07/2023,Pending,29/07/2023,
37,36202,138265,27/07/2023,Not Delivered,-,
38,39440,634328,06/12/2023,Not Delivered,-,
39,66874,456288,24/06/2023,Not Delivered,-,
40,23407,345782,25/05/2023,Delivered,-,
41,76998,267182,15/06/2023,Not Delivered,-,
42,45734,724117,08/08/2023,Delivered,-,
43,98270,424353,20/06/2023,Not Delivered,-,
44,65895,940630,06/02/2023,Delivered,-,
45,76655,311283,05/06/2023,Delivered,-,
46,44408,273667,26/07/2023,Not Delivered,-,
47,15121,343507,08/02/2023,Delivered,-,
48,85769,106933,24/07/2023,Not Delivered,-,
49,45377,764824,15/07/2023,Delivered,-,
50,79533,460962,06/10/2023,Not Delivered,-,
,,476228,,Pending,07/01/1900,
,,341829,,Not Delivered,-,
,,470595,,Delivered,-,
,,851775,,Pending,07/01/1900,
,,431886,,Not Delivered,-,
,,312465,,Pending,07/01/1900,
,,214338,,Pending,07/01/1900,
,,338498,,Pending,07/01/1900,
,,689058,,Delivered,-,
,,838361,,Pending,07/01/1900,
,,248499,,Not Delivered,-,
,,653102,,Pending,07/01/1900,
,,740389,,Delivered,-,
,,310930,,Not Delivered,-,
,,750351,,Pending,07/01/1900,
,,207559,,Pending,07/01/1900,
,,327964,,Pending,07/01/1900,
,,416927,,Not Delivered,-,
,,165040,,Delivered,-,
,,485627,,Pending,07/01/1900,
,,877874,,Delivered,-,
,,640261,,Not Delivered,-,
,,687600,,Not Delivered,-,
,,953138,,Pending,07/01/1900,
,,569125,,Delivered,-,
,,564079,,Pending,07/01/1900,
,,492957,,Not Delivered,-,
,,682925,,Pending,07/01/1900,
,,876226,,Pending,07/01/1900,
,,874594,,Pending,07/01/1900,
,,193739,,Delivered,-,
,,795954,,Pending,07/01/1900,
,,154945,,Not Delivered,-,
,,704026,,Not Delivered,-,
,,124692,,Delivered,-,
,,866979,,Pending,07/01/1900,
,,512472,,Not Delivered,-,
,,836541,,Pending,07/01/1900,
,,907225,,Pending,07/01/1900,
,,466390,,Pending,07/01/1900,
,,643403,,Delivered,-,
,,414453,,Delivered,-,
,,108496,,Not Delivered,-,
,,381959,,Not Delivered,-,
,,995209,,Not Delivered,-,
,,370068,,Pending,07/01/1900,
,,391933,,Pending,07/01/1900,
,,217514,,Not Delivered,-,
,,268474,,Delivered,-,
,,973580,,Pending,07/01/1900,
,,426780,,Pending,07/01/1900,
,,171915,,Pending,07/01/1900,
,,416291,,Delivered,-,
,,741540,,Pending,07/01/1900,
,,429509,,Pending,07/01/1900,
,,558788,,Not Delivered,-,
,,913315,,Delivered,-,
,,652499,,Delivered,-,
,,400134,,Pending,07/01/1900,
,,930461,,Pending,07/01/1900,
,,662303,,Not Delivered,-,
,,740100,,Pending,07/01/1900,
,,701469,,Delivered,-,
,,135354,,Pending,07/01/1900,
,,278398,,Pending,07/01/1900,
,,576967,,Pending,07/01/1900,
,,844661,,Delivered,-,
,,857639,,Delivered,-,
,,962747,,Pending,07/01/1900,
,,443796,,Delivered,-,
,,898013,,Pending,07/01/1900,
,,463175,,Pending,07/01/1900,
,,668087,,Pending,07/01/1900,
,,831145,,Not Delivered,-,
,,631661,,Not Delivered,-,
,,916422,,Not Delivered,-,
,,528640,,Not Delivered,-,
,,642170,,Pending,07/01/1900,
,,874341,,Not Delivered,-,
,,413234,,Delivered,-,
,,658207,,Not Delivered,-,
,,360935,,Pending,07/01/1900,
,,578712,,Pending,07/01/1900,
,,682081,,Not Delivered,-,
,,316332,,Not Delivered,-,
,,885661,,Pending,07/01/1900,
,,567477,,Pending,07/01/1900,
,,261317,,Pending,07/01/1900,
,,547683,,Pending,07/01/1900,
,,145013,,Pending,07/01/1900,
,,753886,,Not Delivered,-,
,,159233,,Delivered,-,
,,828573,,Delivered,-,
,,271728,,Pending,07/01/1900,
,,613380,,Not Delivered,-,
,,106089,,Delivered,-,
,,961431,,Delivered,-,
,,214844,,Delivered,-,
,,129316,,Pending,07/01/1900,
,,581665,,Not Delivered,-,
,,593735,,Pending,07/01/1900,
,,145995,,Not Delivered,-,
,,910201,,Delivered,-,
,,226017,,Not Delivered,-,
,,228844,,Delivered,-,
,,625410,,Pending,07/01/1900,
,,157497,,Delivered,-,
,,414709,,Delivered,-,
,,578730,,Not Delivered,-,
,,543673,,Not Delivered,-,
,,978698,,Not Delivered,-,
,,499457,,Not Delivered,-,
,,642874,,Not Delivered,-,
,,709875,,Pending,07/01/1900,
,,393532,,Delivered,-,
,,166742,,Delivered,-,
,,744781,,Pending,07/01/1900,
,,584475,,Not Delivered,-,
,,706488,,Pending,07/01/1900,
,,809996,,Pending,07/01/1900,
,,140690,,Pending,07/01/1900,
,,593609,,Not Delivered,-,
,,155484,,Not Delivered,-,
,,643577,,Not Delivered,-,
,,158696,,Not Delivered,-,
,,682573,,Not Delivered,-,
,,908418,,Pending,07/01/1900,
,,715368,,Pending,07/01/1900,
,,536278,,Not Delivered,-,
,,616611,,Pending,07/01/1900,
,,185194,,Pending,07/01/1900,
,,178865,,Not Delivered,-,
,,484747,,Pending,07/01/1900,
,,421508,,Pending,07/01/1900,
,,638081,,Not Delivered,-,
,,230678,,Pending,07/01/1900,
,,333716,,Delivered,-,
,,687574,,Not Delivered,-,
,,584720,,Delivered,-,
,,603304,,Delivered,-,
,,791511,,Delivered,-,
,,265205,,Not Delivered,-,
,,177889,,Delivered,-,
,,538831,,Pending,07/01/1900,
,,116222,,Pending,07/01/1900,
,,341123,,Not Delivered,-,
,,523802,,Delivered,-,
,,691870,,Pending,07/01/1900,
,,769544,,Delivered,-,
,,310638,,Delivered,-,
,,116924,,Pending,07/01/1900,
,,463823,,Delivered,-,
,,877314,,Pending,07/01/1900,
,,373420,,Delivered,-,
,,592368,,Not Delivered,-,
,,172160,,Not Delivered,-,
,,723646,,Pending,07/01/1900,
,,180267,,Delivered,-,
,,332827,,Delivered,-,
,,664818,,Pending,07/01/1900,
,,748225,,Not Delivered,-,
,,442912,,Not Delivered,-,
,,153236,,Not Delivered,-,
,,764160,,Pending,07/01/1900,
,,378715,,Delivered,-,
,,197468,,Delivered,-,
,,513962,,Not Delivered,-,
,,297301,,Not Delivered,-,
,,240928,,Delivered,-,
,,196258,,Pending,07/01/1900,
,,547391,,Delivered,-,
,,836593,,Not Delivered,-,
,,638556,,Not Delivered,-,
,,990895,,Delivered,-,
,,206488,,Not Delivered,-,
,,178901,,Delivered,-,
,,357260,,Delivered,-,
,,111164,,Delivered,-,
,,648863,,Delivered,-,
,,195693,,Delivered,-,
,,746608,,Delivered,-,
,,452258,,Not Delivered,-,
,,853499,,Not Delivered,-,
,,545772,,Not Delivered,-,
,,248248,,Not Delivered,-,
,,265899,,Pending,07/01/1900,
,,337091,,Not Delivered,-,
,,796451,,Pending,07/01/1900,
,,445298,,Not Delivered,-,
,,206661,,Delivered,-,
,,680054,,Pending,07/01/1900,
,,512567,,Delivered,-,
,,660746,,Not Delivered,-,
,,932265,,Delivered,-,
,,657732,,Pending,07/01/1900,
,,172149,,Delivered,-,
,,945420,,Not Delivered,-,
,,400576,,Delivered,-,
,,380128,,Not Delivered,-,
,,223759,,Pending,07/01/1900,
,,524672,,Not Delivered,-,
,,705585,,Delivered,-,
,,650404,,Delivered,-,
,,273460,,Pending,07/01/1900,
,,654708,,Pending,07/01/1900,
,,651191,,Pending,07/01/1900,
,,670266,,Not Delivered,-,
,,331882,,Delivered,-,
,,662294,,Pending,07/01/1900,
,,378832,,Not Delivered,-,
,,424021,,Not Delivered,-,
,,729066,,Pending,07/01/1900,
,,447985,,Delivered,-,
,,507082,,Not Delivered,-,
,,335884,,Not Delivered,-,
,,407160,,Delivered,-,
,,585570,,Not Delivered,-,
,,847401,,Pending,07/01/1900,
,,207989,,Delivered,-,
,,820209,,Pending,07/01/1900,
,,458387,,Pending,07/01/1900,
,,699270,,Pending,07/01/1900,
,,458873,,Delivered,-,
,,336521,,Delivered,-,
,,181226,,Pending,07/01/1900,
,,462348,,Delivered,-,
,,486483,,Not Delivered,-,
,,489061,,Pending,07/01/1900,
,,509260,,Pending,07/01/1900,
,,100682,,Pending,07/01/1900,
,,168590,,Not Delivered,-,
,,927467,,Pending,07/01/1900,
,,811118,,Pending,07/01/1900,
,,879502,,Delivered,-,
,,158432,,Pending,07/01/1900,
,,206729,,Pending,07/01/1900,
,,284400,,Pending,07/01/1900,
,,927936,,Delivered,-,
,,995284,,Pending,07/01/1900,
,,727693,,Pending,07/01/1900,
,,779219,,Delivered,-,
,,999366,,Pending,07/01/1900,
,,207353,,Delivered,-,
,,500176,,Delivered,-,
,,912274,,Pending,07/01/1900,
,,963643,,Not Delivered,-,
,,999247,,Not Delivered,-,
,,246510,,Delivered,-,
,,881624,,Pending,07/01/1900,
,,523866,,Delivered,-,
,,311706,,Delivered,-,
,,376609,,Delivered,-,
,,996978,,Not Delivered,-,
,,652842,,Not Delivered,-,
,,202133,,Delivered,-,
,,394356,,Pending,07/01/1900,
,,993987,,Not Delivered,-,
,,191490,,Pending,07/01/1900,
,,736782,,Pending,07/01/1900,
,,539230,,Pending,07/01/1900,
,,341236,,Not Delivered,-,
,,996880,,Delivered,-,
,,138783,,Delivered,-,
,,703793,,Delivered,-,
,,288385,,Pending,07/01/1900,
,,487434,,Delivered,-,
,,103041,,Not Delivered,-,
,,234002,,Pending,07/01/1900,
,,309201,,Delivered,-,
,,170216,,Delivered,-,
,,949665,,Not Delivered,-,
,,275805,,Not Delivered,-,
,,964751,,Not Delivered,-,
,,470806,,Not Delivered,-,
,,845613,,Delivered,-,
,,359502,,Pending,07/01/1900,
,,219646,,Delivered,-,
,,669006,,Pending,07/01/1900,
,,408737,,Not Delivered,-,
,,329688,,Delivered,-,
,,840519,,Delivered,-,
,,892038,,Not Delivered,-,
,,904675,,Pending,07/01/1900,
,,254215,,Pending,07/01/1900,
,,474273,,Not Delivered,-,
,,802436,,Not Delivered,-,
,,548805,,Not Delivered,-,
,,887099,,Not Delivered,-,
,,615167,,Pending,07/01/1900,
,,279554,,Delivered,-,
,,528828,,Delivered,-,
,,892755,,Delivered,-,
,,411376,,Not Delivered,-,
,,905225,,Pending,07/01/1900,
,,113565,,Pending,07/01/1900,
,,259888,,Delivered,-,
,,762898,,Pending,07/01/1900,
,,226000,,Not Delivered,-,
,,127878,,Not Delivered,-,
,,724874,,Delivered,-,
,,122575,,Delivered,-,
,,848699,,Pending,07/01/1900,
,,978585,,Pending,07/01/1900,
,,105085,,Not Delivered,-,
,,835318,,Not Delivered,-,
,,515308,,Pending,07/01/1900,
,,370847,,Delivered,-,
,,919393,,Not Delivered,-,
,,444858,,Delivered,-,
,,994749,,Delivered,-,
,,163502,,Delivered,-,
,,767062,,Not Delivered,-,
,,244789,,Pending,07/01/1900,
,,736734,,Delivered,-,
,,469947,,Delivered,-,
,,765526,,Not Delivered,-,
,,507678,,Not Delivered,-,
,,961223,,Delivered,-,
,,615143,,Pending,07/01/1900,
,,462514,,Delivered,-,
,,246156,,Not Delivered,-,
,,411464,,Not Delivered,-,
,,652127,,Delivered,-,
,,176928,,Not Delivered,-,
,,183139,,Pending,07/01/1900,
,,305491,,Not Delivered,-,
,,595765,,Not Delivered,-,
,,465177,,Not Delivered,-,
,,441581,,Delivered,-,
,,265208,,Pending,07/01/1900,
,,794784,,Not Delivered,-,
