warehouse number,warehouse_id,warehouse_address,cargo_arrival,shipment_errors,customer_rating,total_capacity,remaining_capacity,store_id,sku
1,262645,"123 Main St, Anytown, USA",Road,4,2,"2,000,000","1,820,000",947992,533808
2,134191,"456 Elm Ave, Smallville, USA",Road,4,5,"6,600,000","6,370,000",435497,345979
3,865452,"789 Oak Ln, Sunnyville, USA",Road,2,2,"9,600,000","8,800,000",444335,990650
4,365933,"321 Pine Rd, Lakeside, USA",Road,3,3,"7,200,000","6,940,000",589307,431282
5,539273,"555 Maple St, Riverdale, USA",Road,2,2,"4,900,000","4,250,000",865952,725402
6,135692,"777 Birch Ave, Mountainview, USA",Road,3,1,"2,600,000","2,340,000",819569,125586
7,270703,"888 Cedar Ln, Beachside, USA",Road,3,4,"6,000,000","5,380,000",907948,481230
8,809453,"999 Willow Rd, Hillcrest, USA",Road,4,1,"4,000,000","3,010,000",404428,118559
9,845707,"444 Spruce Ave, Lakeshore, USA",Road,3,4,"3,200,000","2,390,000",656693,945974
10,847632,"222 Oakwood Dr, Meadowville, USA",Road,3,2,"9,600,000","8,970,000",766118,340927
11,651340,"123 Elm St, Sunset, USA",Flight,3,4,"7,200,000","6,910,000",502773,999100
12,506851,"456 Pine Ave, Riverside, USA",Flight,4,5,"8,800,000","8,070,000",204552,219920
13,102037,"789 Maple Ln, Hillside, USA",Flight,3,5,"3,500,000","3,220,000",371972,864359
14,960934,"321 Birch Rd, Seaside, USA",Flight,4,4,"4,600,000","3,710,000",776698,709349
15,169359,"555 Cedar St, Valleyview, USA",Flight,4,3,"8,000,000","7,620,000",741712,863024
16,720661,"777 Willow Ave, Forestville, USA",Flight,4,3,"5,500,000","4,730,000",780752,123766
17,882588,"888 Spruce Ln, Lakeshore, USA",Flight,3,4,"5,600,000","5,440,000",851563,582249
18,662576,"999 Oakwood Rd, Meadowville, USA",Ship,5,5,"3,400,000","3,050,000",200100,959721
19,908837,"444 Elm Ave, Sunset, USA",Ship,5,5,"6,700,000","6,470,000",386137,733977
20,676226,"222 Pine St, Riverside, USA",Ship,4,5,"3,800,000","3,380,000",124403,430851
21,569568,"123 Maple Ln, Hillside, USA",Ship,3,3,"8,700,000","8,240,000",758148,615498
22,740978,"456 Birch Rd, Seaside, USA",Ship,3,1,"1,200,000","1,200,000",212698,281837
23,877636,"789 Cedar Ave, Valleyview, USA",Ship,2,5,"7,900,000","7,900,000",471055,874030
24,841069,"321 Willow St, Forestville, USA",Ship,4,3,"2,500,000","2,500,000",146527,919226
25,288535,"555 Spruce Ave, Lakeshore, USA",Ship,4,5,"4,800,000","4,800,000",137973,918611
26,672440,"777 Oakwood Dr, Meadowville, USA",Ship,3,1,"3,300,000","3,300,000",523666,252870
27,308893,"888 Elm St, Sunset, USA",Ship,4,1,"3,500,000","3,500,000",769967,833328
28,511602,"999 Pine Ave, Riverside, USA",Ship,5,1,"6,800,000","6,800,000",584868,992720
29,774997,"444 Maple Ln, Hillside, USA",Ship,2,3,"2,900,000","2,900,000",748941,354844
30,399493,"222 Birch Rd, Seaside, USA",Ship,5,4,"4,000,000","4,000,000",731844,787024
31,316273,"123 Cedar Ave, Valleyview, USA",Ship,3,4,"6,800,000","6,800,000",381762,760899
32,441254,"456 Willow St, Forestville, USA",Ship,5,3,"1,400,000","1,400,000",204188,831144
33,344064,"789 Spruce Ave, Lakeshore, USA",Ship,3,1,"7,400,000","7,400,000",631684,623007
34,682112,"321 Oakwood Dr, Meadowville, USA",Ship,4,2,"4,200,000","4,200,000",515688,958805
